QKEY,INTERVIEW_START_W154,INTERVIEW_END_W154,DEVICE_TYPE_W154,SVYMODE_W154,LANG_W154,SAMPSOURCE_W154,FORM_W154,X_GENDER_W154,FEELMOD_a_W154,FEELMOD_b_W154,CLOSEFRI_W154,GENFRIONE_W154,GENFRIMANY_W154,COMMFRI_a_W154,COMMFRI_b_W154,COMMFRI_c_W154,COMMFRI_d_W154,POSITIONW_a_W154,POSITIONW_b_W154,POSITIONW_c_W154,POSITIONW_d_W154,POSITIONM_a_W154,POSITIONM_b_W154,POSITIONM_c_W154,POSITIONM_d_W154,MENONLYWB_W154,WOMENONLYWB_W154,MENONLYSOC_W154,WOMENONLYSOC_W154,EMOSUPPFAM_a_W154,EMOSUPPFAM_b_W154,EMOSUPPFAM_c_W154,EMOSUPPFAM_d_W154,EMOSUPPOTH_a_W154,EMOSUPPOTH_b_W154,EMOSUPPOTH_c_W154,DIFF1_a_W154,DIFF1_b_W154,DIFF1_c_W154,DIFF1_d_W154,DIFF1_e_W154,DIFF2_a_W154,DIFF2_b_W154,DIFF2_c_W154,DIFF2_d_W154,DIFF2_e_W154,MASCSCALE_W154,FEMSCALE_W154,MASCFEM_W154,LEARNMAN_a_W154,LEARNMAN_b_W154,LEARNMAN_c_W154,LEARNMAN_d_W154,LEARNMAN_e_W154,LEARNMAN_f_W154,LEARNMAN_g_W154,LEARNMAN_h_W154,LEARNMAN_i_W154,LEARNWOMAN_a_W154,LEARNWOMAN_b_W154,LEARNWOMAN_c_W154,LEARNWOMAN_d_W154,LEARNWOMAN_e_W154,LEARNWOMAN_f_W154,LEARNWOMAN_g_W154,LEARNWOMAN_h_W154,LEARNWOMAN_i_W154,ROLES1_W154,ROLES2_W154,CHANGE1_a_W154,CHANGE1_b_W154,CHANGE1_c_W154,CHANGE1_d_W154,CHANGE1_e_W154,CHANGE1_f_W154,WHOBETTER_a_W154,WHOBETTER_b_W154,WHOBETTER_c_W154,WHOBETTER_d_W154,WHOBETTER_e_W154,WHOBETTER_f_W154,BOYS_a_W154,BOYS_b_W154,BOYS_c_W154,BOYS_d_W154,GIRLS_a_W154,GIRLS_b_W154,GIRLS_c_W154,GIRLS_d_W154,CHANGEMEN_a_W154,CHANGEMEN_b_W154,CHANGEMEN_c_W154,CHANGEMEN_d_W154,CHANGEMEN_e_W154,CHANGEMEN_f_W154,CHANGEMEN_g_W154,CHANGEWOM_a_W154,CHANGEWOM_b_W154,CHANGEWOM_c_W154,CHANGEWOM_d_W154,CHANGEWOM_e_W154,CHANGEWOM_f_W154,CHANGEWOM_g_W154,DEIAFFECT_a_W154,DEIAFFECT_b_W154,DEIAFFECT_c_W154,DEIAFFECT_d_W154,DEIAFFECT_e_W154,DEIAFFECT_f_W154,DEIAFFECT_g_W154,DEIAFFECT_h_W154,MASCPOSNEG_W154,MASCPOSGOODBAD_W154,MASCNEGGOODBAD_W154,VALUEMEN_a_W154,VALUEMEN_b_W154,VALUEMEN_c_W154,VALUEMEN_d_W154,VALUEMEN_e_W154,VALUEMEN_f_W154,VALUEMEN_g_W154,VALUEMEN_h_W154,MENACCEPT1_a_W154,MENACCEPT1_b_W154,MENACCEPT1_c_W154,MENACCEPT1_d_W154,MENACCEPT1_e_W154,MENACCEPT1_f_W154,MENACCEPT2_a_W154,MENACCEPT2_b_W154,MENACCEPT2_c_W154,MENACCEPT2_d_W154,TRANSGEND2MOD_W154,TRANSGEND11_W154,TRANSGEND12_W154,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_RELIGCAT1,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W154
23,2024-09-05T07:54:36Z,2024-09-05T08:06:24Z,1,1,9,2,1,,2,2,2,,3,1,2,2,1,3,3,2,1,4,4,2,2,2,1,,,6,1,3,3,2,4,2,2,2,2,2,2,2,1,1,1,1,4,2,-2,,,,,,,,,,6,1,1,1,4,6,4,1,2,1,3,1,1,1,1,1,1,1,3,3,3,1,3,,,,,3,3,3,3,2,2,2,4,2,2,2,2,1,1,4,1,1,1,3,3,3,3,3,3,3,3,1,1,,2,3,3,2,3,2,2,2,4,4,4,2,1,4,4,4,5,4,2,2,2,1,2,3,2,2,2,1,5,2,1,2,2,1,6,1,1,2,,2,4,1,9,4,1,2,2,0.18139229701930543
24,2024-09-07T20:41:19Z,2024-09-07T21:10:21Z,3,1,9,2,2,,4,1,2,,3,2,1,5,6,2,2,3,3,3,5,2,3,,,6,2,2,1,1,2,3,5,4,1,1,2,2,2,,,1,2,2,5,1,-4,,,,,,,,,,3,1,1,2,6,6,2,5,5,1,2,3,3,3,3,3,3,1,3,3,3,3,3,,,,,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,1,2,3,3,2,2,6,6,6,6,3,,,3,3,1,2,1,2,1,3,5,5,5,2,5,4,2,2,3,3,2,3,,1,3,5,3,4,2,1,6,2,1,2,2,1,3,1,1,3,2,2,3,1,3,3,2,1,2,0.3135217951244981
28,2024-09-06T09:07:15Z,2024-09-06T09:28:16Z,1,1,9,2,1,,3,3,1,1,,6,3,5,5,2,3,4,2,5,2,3,4,3,1,,,2,1,6,3,3,4,2,1,2,2,2,1,,1,2,2,,5,3,-2,,,,,,,,,,5,6,3,4,4,6,6,5,4,2,2,1,3,1,3,1,3,1,3,3,3,1,3,,,,,2,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,2,2,2,2,2,2,3,,,2,1,1,2,1,2,1,2,4,5,3,3,3,4,2,3,3,3,1,1,1,1,4,9,2,2,2,1,5,2,1,2,2,1,2,10,3,2,,2,4,1,3,4,1,2,1,0.5626684119224676
29,2024-09-10T02:32:57Z,2024-09-10T03:05:09Z,1,1,9,2,1,,4,2,2,,2,2,1,5,5,1,3,4,4,1,3,4,4,1,1,,,2,1,1,1,1,3,1,1,2,2,1,1,,1,2,,,5,1,-4,,,,,,,,,,3,3,1,5,3,3,5,5,5,3,3,2,1,1,2,2,1,3,3,3,3,3,3,2,2,3,3,,,,,3,3,3,3,3,3,3,2,3,4,5,3,3,3,1,3,1,1,1,1,2,2,3,,,3,1,1,2,3,3,3,3,5,5,3,5,2,4,2,3,4,2,1,1,1,1,2,3,2,3,2,1,6,2,1,2,2,1,3,1,1,2,,2,3,1,9,3,2,1,2,0.41622822139330934
30,2024-09-06T10:22:23Z,2024-09-06T10:47:34Z,1,1,9,2,1,,3,1,2,,1,5,2,5,2,3,4,2,4,3,4,2,4,2,2,,,2,3,3,4,4,5,4,2,2,2,2,1,2,1,1,1,,2,4,2,4,1,3,3,4,6,2,4,4,,,,,,,,,,1,2,2,1,1,1,1,1,1,3,2,3,3,3,2,3,3,3,,,,,3,4,5,5,4,4,4,3,3,2,4,4,2,3,3,3,2,2,2,1,2,2,1,1,,2,2,3,1,3,2,2,2,5,4,4,4,4,4,3,3,5,2,2,2,2,1,4,9,2,2,1,2,4,1,1,4,3,1,2,1,1,1,,1,1,1,1,2,1,1,1,0.8439891895465151
32,2024-09-05T08:15:32Z,2024-09-05T08:30:43Z,1,1,9,2,2,,2,3,2,,2,4,2,3,1,2,3,2,3,2,2,3,1,,,2,2,2,5,4,1,3,5,5,1,2,2,1,1,,2,2,,,4,2,-2,,,,,,,,,,1,3,3,2,3,6,4,3,3,3,3,1,1,1,1,1,1,3,3,3,2,3,1,,,,,2,1,2,3,4,4,4,5,4,3,2,1,3,4,5,2,2,4,2,3,2,3,6,1,6,6,2,,2,2,1,1,2,3,2,2,2,5,5,3,1,3,4,3,3,4,3,1,1,1,1,3,7,2,1,2,1,5,1,1,5,3,1,6,1,1,2,,2,3,3,4,3,1,1,1,1.346220299063642
34,2024-09-08T05:58:24Z,2024-09-08T07:23:28Z,1,1,10,2,1,,4,3,2,,3,2,2,3,1,2,2,4,4,3,2,4,4,2,2,,,1,1,6,3,3,5,1,1,2,2,2,2,,1,2,2,2,5,1,-4,,,,,,,,,,5,6,3,5,3,5,5,3,1,99,3,1,3,2,2,2,2,3,3,3,3,3,3,3,3,99,3,,,,,2,2,5,5,3,4,5,99,99,5,99,99,99,5,1,1,3,4,4,5,1,5,2,,1,1,2,1,1,3,3,2,2,5,5,5,4,4,5,1,2,4,4,2,3,,1,3,5,1,3,2,3,2,1,4,5,3,4,1,2,2,1,,1,2,2,1,3,2,2,1,2.1101746076812256
40,2024-09-04T20:42:25Z,2024-09-04T20:57:18Z,1,1,9,2,1,,4,2,2,,3,2,2,2,1,3,3,2,2,3,3,2,3,6,6,,,6,1,6,1,2,3,2,1,2,2,2,2,,2,1,2,2,1,5,4,6,2,1,2,2,2,2,3,3,,,,,,,,,,1,2,3,1,3,1,1,2,3,3,3,3,3,3,,,,,3,1,2,3,3,2,5,2,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,,,3,1,1,1,3,3,1,1,3,2,4,2,4,4,2,4,4,2,2,2,2,1,3,5,1,2,1,99,99,2,1,2,2,1,6,12,3,2,,2,3,1,3,2,1,2,1,0.6493985976408151
43,2024-09-05T04:21:12Z,2024-09-05T04:47:03Z,1,1,9,2,1,,4,2,2,,1,4,3,4,3,4,4,2,3,5,5,3,3,2,2,,,4,6,6,2,2,3,5,2,2,2,2,1,1,1,2,2,,4,3,-1,,,,,,,,,,2,5,2,3,4,4,5,4,2,2,2,1,3,1,1,1,1,3,3,3,3,1,3,,,,,2,2,2,3,1,3,3,3,2,3,1,2,2,2,1,2,2,1,3,3,2,2,3,2,6,6,1,3,,2,1,3,2,1,2,3,2,4,5,5,2,3,4,1,4,4,2,2,3,,1,3,7,2,3,2,3,2,1,1,1,3,1,4,1,1,4,99,9,9,2,9,3,1,1,3,3.1933297837996375
49,2024-09-04T23:43:36Z,2024-09-05T00:06:37Z,1,1,9,2,1,,4,1,2,,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,,,2,2,6,2,3,4,4,1,1,1,1,1,,,,,,4,2,-2,,,,,,,,,,3,6,4,4,6,6,3,4,4,3,3,1,1,3,1,1,1,3,3,3,3,3,3,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,3,,,2,3,3,2,1,2,2,3,5,5,4,3,4,5,3,4,5,3,2,2,2,1,3,7,2,2,2,2,4,1,1,4,3,1,1,12,3,4,1,1,2,3,1,3,1,2,1,0.3756720969540549
57,2024-09-06T12:00:47Z,2024-09-06T12:11:41Z,1,1,9,2,2,,2,3,1,1,,3,1,2,2,2,3,3,4,2,3,3,3,,,4,2,1,2,1,2,2,4,5,1,2,1,2,2,,1,,1,2,3,3,0,,,,,,,,,,2,2,3,3,4,6,6,4,4,2,2,3,3,2,1,1,3,3,1,3,3,1,2,,,,,2,2,2,3,2,2,1,2,3,2,3,2,1,1,2,2,1,2,3,3,2,2,2,2,2,2,2,,2,2,3,3,2,1,2,2,2,5,4,4,2,2,5,3,1,1,3,2,1,1,1,4,9,2,1,2,3,2,1,1,1,3,1,2,12,3,3,2,2,3,1,3,2,1,2,2,0.539117217326427
59,2024-09-10T23:36:00Z,2024-09-10T23:50:14Z,3,1,9,2,1,,5,5,2,,2,3,3,3,2,3,3,1,1,3,2,1,1,1,1,,,1,1,1,3,2,4,3,2,2,2,2,2,2,2,2,2,2,3,2,-1,,,,,,,,,,6,6,6,3,6,5,2,2,3,1,1,3,3,2,3,2,3,2,2,2,2,3,1,99,2,1,1,,,,,3,3,1,2,2,4,3,3,2,1,2,1,2,3,3,2,99,3,4,3,3,3,2,,2,2,2,2,2,1,2,1,3,4,3,4,3,4,4,4,3,5,1,1,2,1,1,2,3,2,1,2,2,4,2,1,2,2,1,6,12,3,2,,2,4,1,2,4,1,1,1,0.7335574583917722
63,2024-09-04T22:59:14Z,2024-09-04T23:31:51Z,1,1,9,2,1,,3,2,1,1,,3,2,5,1,2,2,3,3,2,1,4,3,2,1,,,3,1,3,4,3,4,4,2,1,2,2,2,1,,1,1,2,5,2,-3,,,,,,,,,,3,4,1,3,3,3,4,5,5,1,3,3,3,1,3,1,3,3,3,3,3,1,1,1,2,2,2,,,,,4,4,2,4,3,3,2,3,2,2,4,2,1,1,3,6,3,2,3,2,2,3,1,3,,2,1,1,3,3,2,3,2,5,5,5,3,2,4,3,3,5,2,2,2,2,1,1,2,1,2,2,1,5,2,4,2,2,4,1,1,1,2,,2,3,1,3,3,1,1,1,0.2333313706466333
67,2024-09-04T21:42:26Z,2024-09-04T21:57:31Z,1,1,9,2,1,,4,3,2,,3,2,2,3,2,3,4,2,3,3,3,3,3,1,2,,,6,6,6,2,2,4,3,2,2,2,2,2,1,1,2,2,2,4,3,-1,,,,,,,,,,6,2,3,3,5,5,3,5,5,2,2,3,2,2,2,3,3,1,3,3,3,1,3,2,2,2,2,,,,,3,3,2,2,3,2,2,2,1,2,4,3,2,3,1,1,3,2,6,6,6,6,3,,,2,1,1,2,1,2,2,2,4,5,4,3,4,5,5,5,3,4,1,2,2,1,3,6,2,99,2,1,5,2,1,2,2,1,6,12,3,2,,2,3,1,6,3,1,1,2,0.13048345085333318
72,2024-09-07T13:18:45Z,2024-09-07T13:53:33Z,1,1,9,2,1,,3,3,2,,4,2,2,5,3,2,2,3,4,3,4,5,4,1,1,,,6,1,4,4,3,3,2,2,2,2,2,1,2,1,2,1,,3,3,0,,,,,,,,,,6,4,2,5,6,6,4,3,3,3,2,1,3,1,1,1,2,3,3,3,3,3,3,3,2,3,3,,,,,2,3,3,4,3,3,2,1,3,1,5,2,1,1,3,3,1,2,2,2,2,2,1,3,,2,1,1,2,1,2,3,2,4,4,2,3,3,4,4,2,3,5,2,2,2,1,4,8,1,2,2,3,2,1,4,1,3,4,6,1,1,2,,2,4,1,5,5,1,2,2,0.6258190259192427
74,2024-09-05T08:09:01Z,2024-09-05T09:04:12Z,1,1,9,2,1,,2,1,2,,1,6,2,2,1,1,2,1,1,1,1,1,1,2,2,,,1,1,6,6,3,2,3,2,2,2,2,2,2,2,2,1,2,4,3,-1,2,5,1,3,5,4,2,2,1,,,,,,,,,,1,2,1,1,1,2,1,2,2,1,1,2,3,1,,,,,3,3,3,3,4,3,3,5,3,3,3,3,3,1,2,1,3,1,3,3,3,3,3,2,4,3,1,1,,2,1,1,2,1,1,1,2,4,1,1,1,1,1,3,3,5,1,1,1,1,2,3,6,1,2,1,3,1,2,1,2,2,1,6,12,3,3,2,2,3,1,1,3,1,2,1,1.0506188602069588
78,2024-09-05T07:33:13Z,2024-09-05T07:51:49Z,1,1,10,2,1,,4,2,2,,4,3,3,5,2,5,4,2,2,4,3,2,3,2,2,,,4,4,3,4,2,2,2,1,2,1,2,1,,1,,2,,2,5,3,4,3,3,3,3,5,5,4,4,,,,,,,,,,2,2,1,1,1,1,1,1,3,3,3,3,3,3,,,,,2,2,2,1,3,2,3,2,3,3,3,2,2,3,4,2,2,3,1,3,1,1,1,1,1,1,1,3,,3,1,1,2,1,3,1,2,3,5,3,4,3,4,2,2,2,2,1,2,2,1,2,3,1,3,1,1,6,1,2,1,3,4,6,9,3,2,,2,3,3,5,3,1,2,2,0.2969045289313821
79,2024-09-05T17:14:27Z,2024-09-05T17:32:23Z,3,1,9,2,1,,4,1,2,,2,3,3,3,2,4,4,2,2,4,4,2,2,2,2,,,2,2,2,3,3,3,3,2,2,2,2,2,1,2,2,2,2,1,5,4,4,3,4,3,4,5,3,5,5,,,,,,,,,,3,3,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,3,,,,,3,2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,1,1,1,1,1,1,3,,,2,2,2,3,2,3,3,3,4,4,4,3,4,4,2,3,3,3,2,2,2,1,1,2,1,4,1,3,2,1,4,1,3,2,3,12,3,1,,1,2,2,5,3,3,2,2,0.4179400213151691
80,2024-09-04T21:19:22Z,2024-09-04T21:39:11Z,1,1,9,2,2,,3,2,2,,2,3,3,3,2,3,3,1,1,3,4,1,1,,,2,2,2,4,4,4,3,4,2,1,2,2,2,1,,1,2,2,,3,3,0,,,,,,,,,,5,5,3,2,5,4,4,3,3,3,3,2,3,2,2,2,1,1,2,1,3,1,1,3,3,3,3,,,,,2,2,4,4,4,2,2,2,2,2,5,4,2,4,4,4,4,4,4,4,4,4,2,,2,3,3,3,2,3,3,3,2,5,4,2,2,4,5,4,4,5,3,1,2,2,1,4,9,2,2,2,2,4,1,1,4,3,1,1,2,2,1,,1,2,1,9,3,1,1,2,1.0324544775008444
